id,id_comment,video_id,texto_raw,texto_limpio,id_emocion,intensidad,id_tema,likes,fecha,texto_primera_pasada
329,7611693806941160222,7611543013990485268,We el solo quería una familia 😔,we el solo quería una familia [sentimiento de tristeza],,,1,65,2026-02-27 17:39:49.000000,we el solo quería una familia 😔
338,7611812706362639120,7611543013990485268,soy el único q le parece buena onda y amable el Beto [sticker],soy el único q le parece buena onda y amable el beto,,,1,116,2026-02-28 01:21:02.000000,soy el único q le parece buena onda y amable el beto
339,7611740299828921118,7611543013990485268,primera vez que siento empatia por alguien que hizo cosas malas,primera vez que siento empatia por alguien que hizo cosas malas,,,1,50,2026-02-27 20:40:33.000000,primera vez que siento empatia por alguien que hizo cosas malas
340,7611766597887607560,7611543013990485268,"No justifico sus actos pero en lo personal me movió mucho por dentro me llegue a sentir mal por su pasado, por ese niño que sufrió y le paso lo que no tenía que pasar en el fondo el quiere una familia y deseaba unos padres a él no le hubiera importado en la pobreza que tuviera que vivir solo quería a su mamá a su lado y solo espera su otra vida vida para vivir como debía de vivir sin dolor y con el amor de madre que deseaba","no justifico sus actos pero en lo personal me movió mucho por dentro me llegue a sentir mal por su pasado, por ese niño que sufrió y le paso lo que no tenía que pasar en el fondo el quiere una familia y deseaba unos padres a él no le hubiera importado en la pobreza que tuviera que vivir solo quería a su mamá a su lado y solo espera su otra vida vida para vivir como debía de vivir sin dolor y con el amor de madre que deseaba",,,1,24,2026-02-27 22:22:07.000000,"no justifico sus actos pero en lo personal me movió mucho por dentro me llegue a sentir mal por su pasado, por ese niño que sufrió y le paso lo que no tenía que pasar en el fondo el quiere una familia y deseaba unos padres a él no le hubiera importado en la pobreza que tuviera que vivir solo quería a su mamá a su lado y solo espera su otra vida vida para vivir como debía de vivir sin dolor y con el amor de madre que deseaba"
366,7611678504720450322,7611543013990485268,"siempre tengamos empatia cuando veamos a un niño de la calle, ayudemos no sabemos lo que este pasando","siempre tengamos empatia cuando veamos a un niño de la calle, ayudemos no sabemos lo que este pasando",,,1,50,2026-02-27 16:40:20.000000,"siempre tengamos empatia cuando veamos a un niño de la calle, ayudemos no sabemos lo que este pasando"
367,7611940935056933650,7611543013990485268,muchos juzgan lo que hizo pero nadie escucha lo que vivió 🥹,muchos juzgan lo que hizo pero nadie escucha lo que vivió [compasión profunda],,,1,21,2026-02-28 09:38:39.000000,muchos juzgan lo que hizo pero nadie escucha lo que vivió 🥹
369,7611949346486190869,7611543013990485268,"Ese no pasa nada manita... dolió
cómo si el la estuviera consolando a ella 😔💔","ese no pasa nada manita... dolió
cómo si el la estuviera consolando a ella [tristeza profunda dolor intenso]",,,1,24,2026-02-28 10:11:20.000000,"ese no pasa nada manita... dolió
cómo si el la estuviera consolando a ella 😔💔"
370,7611791014374130463,7611543013990485268,No pasa nada [sticker],no pasa nada,,,1,34,2026-02-27 23:57:04.000000,no pasa nada
378,7611911916588909342,7611543013990485268,todos te fallaron betito.. en otro vida eres el piloto que tanto quisiste ser ❤️‍🩹,todos te fallaron betito.. en otro vida eres el piloto que tanto quisiste ser [piloto de fantasía],,,1,23,2026-02-28 07:46:53.000000,todos te fallaron betito.. en otro vida eres el piloto que tanto quisiste ser ❤️‍🩹
379,7612904681471902495,7611543013990485268,"Beto Escuchanos tu voz , Los del internet si nos importas y sentimos tu dolor ,sentimos mucho Que las circumstances the hayan llevado a hacer cosas malas ,un abrazo fuerte .❤️","beto escuchanos tu voz , los del internet si nos importas y sentimos tu dolor ,sentimos mucho que las circumstances the hayan llevado a hacer cosas malas ,un abrazo fuerte .[amor sincero]",,,1,14,2026-03-02 23:59:04.000000,"beto escuchanos tu voz , los del internet si nos importas y sentimos tu dolor ,sentimos mucho que las circumstances the hayan llevado a hacer cosas malas ,un abrazo fuerte .❤️"
